"City Council District","Agency","Site","Address","Borough","Environmental Justice Area","Installation Date","Installed or Estimated Capacity","Percentage of Max Peak Demand","Estimated Annual Production","Percentage of Annual Electricity Consumption","Estimated Annual Emissions Reduction","Estimated Social Cost of Carbon Value","Estimated Annual Energy Savings","Upfront Project Cost","Financing Mechanism","Status","Solar-Readiness Assessment","Total Gross Square Footage","Roof Condition","Roof Age","Other Sustaibility Projects","Year of Report","Data Current as of","Postcode","Latitude","Longitude","Community Board","Census Tract","BIN","BBL","NTA"
"3","DOE","M451","250 West 18 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","48,953 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10011","40.741657","-73.999307","104","81","1013858","1007670068","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","DOE","M535","525 W. 50 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","517,274 GSF","Fair","> 20 years","No","2022","07/07/2022","10019","40.765184","-73.992953","104","135","1083802","1010790029","Clinton"
"3","DOE","M600","225 W. 24 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","288,000 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10011","40.745156","-73.996074","104","91","1014174","1007740019","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","DOE","M615","131 Avenue of Americas","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","119,645 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10013","40.7244","-74.004625","102","37","1007378","1004910016","SoHo-TriBeCa-Civic Center-Little Italy"
"3","DOE","M834","448 West 56 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","73,500 GSF","Poor","15 to 19 years","No","2022","07/07/2022","10019","40.767824","-73.98761","104","139","1026841","1010650001","Clinton"
"3","DOE","M933","425 West 33rd St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","164,790 GSF","Fair","> 20 years","No","2022","07/07/2022","10001","40.753091","-73.99764","104","103","1012851","1007310054","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","DOHMH","Chelsea Health Center","303 9th Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","27,985 GSF","Unknown","10 to 14 years","No","2022","07/07/2022","10001","40.749356","-73.999257","104","97","1012830","1007240082","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","DPR","Chelsea Recreation Center","430 West 25th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","54,000 GSF","Between Good and Fair","5 to 9 years","Existing Green Roof, Planned Green Roof","2022","07/07/2022","10001","40.748291","-74.001649","104","93","1012811","1007220057","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","DSNY","Manhattan Borough Repair Shop","640 West 26th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","205,000 GSF","Poor","> 20 years","No","2022","07/07/2022","10001","40.751183","-74.006594","104","99","1012267","1006700050","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","FDNY","Engine Co. 1 and Ladder Co. 24","142 West 31st St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","11,326 GSF","Unknown","> 20 years","No","2022","07/07/2022","10001","40.74843","-73.990447","105","101","1015173","1008060066","Midtown-Midtown South"
"3","FDNY","Engine Co. 3 at Ladder Co. 12, Batt. 7","146 West 19th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","17,586 GSF","Unknown","10 to 14 years","No","2022","07/07/2022","10011","40.741012","-73.995958","104","87","1014723","1007940064","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","FDNY","FDNY Museum","278 Spring St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","14,901 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10013","40.725767","-74.006851","102","37","1009739","1005790011","SoHo-TriBeCa-Civic Center-Little Italy"
"3","FDNY","Marine Co. 1","2 Bloomfield St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","Unknown","Good","Unknown","No","2022","07/07/2022","10014","40.740492","-74.009992","102","79","1000000","1006510001","West Village"
"3","FIT","Alumni Hall","210 West 27th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","149,614 GSF","Poor","15 to 19 years","No","2022","07/07/2022","10001","40.746896","-73.994489","105","95","1088614","1007760033","Midtown-Midtown South"
"3","FIT","Bldg B, Business and Liberal Arts Center","227 West 27th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","197,000 GSF","Poor","> 20 years","No","2022","07/07/2022","10001","40.747127","-73.994991","105","95","1014251","1007770018","Midtown-Midtown South"
"3","FIT","Bldg C, Marvin Feldman Center","207 West 27th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","316,300 GSF","Poor","> 20 years","No","2022","07/07/2022","10001","40.746721","-73.994031","105","95","1014251","1007770018","Midtown-Midtown South"
"3","FIT","Bldg D, Fred P. Pomerantz Art and Design Center","300 7th Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","233,167 GSF","Poor","> 20 years","No","2022","07/07/2022","10001","40.746715","-73.993756","105","95","1014252","1007770037","Midtown-Midtown South"
"3","FIT","Coed Hall","230 West 27th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","13,183 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10001","40.747195","-73.995193","105","95","1014237","1007760055","Midtown-Midtown South"
"3","FIT","gler Hall","220 West 27th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","65,240 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10001","40.747124","-73.995023","105","95","1083088","1007760047","Midtown-Midtown South"
"3","FIT","SUNY Fashion Institute of Technology (FIT)","227 West 27th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","110,000 GSF","Unknown","Unknown","No","2022","07/07/2022","10001","40.747127","-73.994991","105","95","1014251","1007770018","Midtown-Midtown South"
"3","NYPD","10th Precinct","230 West 20th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","20,110 GSF","Poor","> 20 years","No","2022","07/07/2022","10011","40.742697","-73.998145","104","87","1013994","1007690055","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","NYPD","14th Precinct (Midtown South)","357 West 35th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","40,107 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10001","40.753525","-73.994535","104","111","1013564","1007590008","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","NYPD","18th Precinct (Midtown North)","306 West 54th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","30,000 GSF","Poor","10 to 14 years","No","2022","07/07/2022","10019","40.765016","-73.984835","104","133","1082822","1010440038","Clinton"
"3","NYPD","20th Precinct","120 West 82nd St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","28,000 GSF","Unknown","> 20 years","No","2022","07/07/2022","10024","40.784244","-73.974896","107","165","1032028","1012120038","Upper West Side"
"3","NYPD","6th Precinct","233 West 10th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","30,489 GSF","Poor","10 to 14 years","No","2022","07/07/2022","10014","40.733889","-74.005394","102","73","1011192","1006200033","West Village"
"3","NYPD","Parking Enforcement Division","134 West 30th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","36,702 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10001","40.747739","-73.990739","105","95","1015151","1008050082","Midtown-Midtown South"
"3","NYPD","Pier 76 Tow Pound","1 Pier 76","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","393,040 GSF","Poor","> 20 years","No","2022","07/07/2022","10018","40.758493","-74.004924","104","99","1000000","1006650010","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","NYPD","Pier 76 Tow Pound","1 Pier 76","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","393,040 GSF","Poor","> 20 years","No","2022","07/07/2022","10018","40.758493","-74.004924","104","99","1000000","1006650010","Hudson Yards-Chelsea-Flatiron-Union Square"
"3","NYPL","Columbus Branch Library","742 10th Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","11,554 GSF","Poor","15 to 19 years","No","2022","07/07/2022","10019","40.765025","-73.991527","104","133","1026706","1010600063","Clinton"
"3","NYPL","Hudson Park Branch Library","66 Leroy St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","17,565 GSF","Unknown","15 to 19 years","No","2022","07/07/2022","10014","40.730161","-74.005228","102","67","1009760","1005820018","West Village"
"3","NYPL","Jefferson Market Branch Library","425 6th Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","20,735 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10011","40.734323","-73.999065","102","71","1082668","1006060001","West Village"
"4","DCLA","Metropolitan Museum of Art Offices","6 East 82nd St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","13,457 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10028","40.778765","-73.961896","108","142","1046688","1014930166","Upper East Side-Carnegie Hill"
"4","DEP","Water Distribution Facility","Broadway","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","24,000 GSF","Unknown","> 20 years","No","2022","07/07/2022",,,,,,,,
"4","DHS","Bellevue Men's Shelter","400 East 30th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","480,000 GSF","Fair","> 20 years","No","2022","07/07/2022","10016","40.74113","-73.975021","106","62","1087298","1009620097","Murray Hill-Kips Bay"
"4","DHS","New Providence SRO (Single Room Occupancy) Residence","225 East 45th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","32,221 GSF","Unknown","Unknown","No","2022","07/07/2022","10017","40.752396","-73.97232","106","90","1037587","1013190011","Turtle Bay-East Midtown"
"4","DOE","M169","110 East 88 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","74,480 GSF","Fair","> 20 years","No","2022","07/07/2022","10128","40.781227","-73.955673","108","14802","1048043","1015167502","Upper East Side-Carnegie Hill"
"4","DOE","M486","120 W.46 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","62,180 GSF","Fair","> 20 years","No","2022","07/07/2022","10036","40.757729","-73.983078","105","119","1069583","1009980041","Midtown-Midtown South"
"4","DOE","M630","1075 Second Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","632,828 GSF","Fair","> 20 years","No","2022","07/07/2022","10022","40.759092","-73.965463","106","108","1090233","1013307502","Turtle Bay-East Midtown"
"4","DPR","Asser Levy Recreation Center and Pool","East 23rd St at FDR Dr","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","19,806 GSF","Fair","> 20 years","Planned Green Roof","2022","07/07/2022",,,,,,,,
"4","DPR","Delacorte Theatre","West Dr at 79th St Transverse","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","16,962 GSF","Fair","Unknown","No","2022","07/07/2022",,,,,,,,
"4","FDNY","Engine Co. 39, Ladder Co. 16","157 East 67th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","12,960 GSF","Unknown","10 to 14 years","No","2022","07/07/2022","10065","40.76696","-73.963856","108","120","1072190","1014020029","Upper East Side-Carnegie Hill"
"4","FDNY","Engine Co. 39, Ladder Co. 16 and 19th Precinct Campus","158 East 67th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","37,286 GSF","Unknown","Unknown","No","2022","07/07/2022","10065","40.766925","-73.963813","108","120",,,"Upper East Side-Carnegie Hill"
"4","HHC","Ambulatory Care Building","462 1st Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","192,559 GSF","Poor","10 to 14 years","No","2022","07/07/2022","10016","40.739173","-73.976862","106","62","1086515","1009620100","Murray Hill-Kips Bay"
"4","NYPD","19th Precinct","153 East 67th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","24,326 GSF","Between Fair and Poor","5 to 9 years","No","2022","07/07/2022","10065","40.766988","-73.963921","108","120","1042471","1014020025","Upper East Side-Carnegie Hill"
"4","NYPL","Mid-Manhattan Library","455 5th Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","146,157 GSF","Good","10 to 14 years","No","2022","07/07/2022","10016","40.752003","-73.981954","105","82","1017602","1008690074","Murray Hill-Kips Bay"
"4","NYPL","Yorkville Branch Library","222 East 79th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","13,112 GSF","Fair","> 20 years","No","2022","07/07/2022","10075","40.773984","-73.956613","108","134","1044180","1014330037","Lenox Hill-Roosevelt Island"
"4","OCME","Chief Medical Examiners Building","520 1st Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","90,456 GSF","Poor","> 20 years","No","2022","07/07/2022","10016","40.741451","-73.975201","106","62","1022053","1009620001","Murray Hill-Kips Bay"
"4","OCME","OCME Center for Forensic Sciences","421 East 26th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","330,000 GSF","Good","10 to 14 years","No","2022","07/07/2022","10016","40.738575","-73.976588","106","62","1087242","1009620100","Murray Hill-Kips Bay"
"5","DOE","M066","421 East 88 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","69,680 GSF","Fair","> 20 years","No","2022","07/07/2022","10128","40.777911","-73.947757","108","14402","1050618","1015680008","Yorkville"
"5","DOE","M151","1763 1st Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","78,595 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10128","40.780285","-73.9469","108","154","1087665","1015540023","Yorkville"
"5","DOE","M190","311 East 82 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","50,700 GSF","Fair","> 20 years","No","2022","07/07/2022","10028","40.775078","-73.953096","108","138","1049876","1015450005","Yorkville"
"5","DOE","M198","1700 3rd Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","109,325 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10128","40.784826","-73.949611","108","15801","1048492","1015240023","Upper East Side-Carnegie Hill"
"5","DOE","M480","317 E. 67 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","361,820 GSF","Poor","> 20 years","No","2022","07/07/2022","10065","40.765359","-73.960059","108","118","1083343","1014420001","Lenox Hill-Roosevelt Island"
"5","DOE","M645","320 East 96 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","94,000 GSF","Good","5 to 9 years","No","2022","07/07/2022","10128","40.783625","-73.945637","108","15601","1050338","1015580034","Yorkville"
"5","DOT","Queensborough Bridge Ramp","1120-1138 2nd Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","52,100 GSF","Unknown","Unknown","No","2022","07/07/2022","10022","40.760664","-73.96426","108","110","1000000","1014340001","Lenox Hill-Roosevelt Island"
"5","DPR","Asphalt Green Recreation Facility","1750 York Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","56,000 GSF","Fair","> 20 years","No","2022","07/07/2022","10128","40.779378","-73.944604","108","152","1085696","1015870001","Yorkville"
"5","DPR","Gracie Mansion","97 East End Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","15,000 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10028","40.773532","-73.945782","108","136","1076334","1015920001","Yorkville"
"5","DPR","John Jay Park, Pool and Comfort Station","East 76th St at FDR Dr","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","10,800 GSF","Poor","> 20 years","No","2022","07/07/2022",,,,,,,,
"5","NYPL","67th Street Branch Library","328 East 67th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","13,788 GSF","Poor","15 to 19 years","No","2022","07/07/2022","10065","40.765257","-73.959868","108","118","1044749","1014410038","Lenox Hill-Roosevelt Island"
"5","NYPL","Webster Branch Library","1465 York Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","11,801 GSF","Fair","> 20 years","No","2022","07/07/2022","10075","40.770485","-73.95111","108","132","1045991","1014720028","Lenox Hill-Roosevelt Island"
"6","DCLA","Metropolitan Museum of Art","1000 5th Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","2,153,282 GSF","Good","> 20 years","No","2022","07/07/2022","10028","40.778633","-73.962546","164","143","1083810","1011110001","park-cemetery-etc-Manhattan"
"6","DOE","M009","100 West 84 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","105,725 GSF","Fair","> 20 years","No","2022","07/07/2022","10024","40.785287","-73.97343","107","169","1032119","1012140029","Upper West Side"
"6","DOE","M044","100 West 77 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","143,000 GSF","Fair","> 20 years","No","2022","07/07/2022","10024","40.780822","-73.976855","107","161","1030178","1011480014","Upper West Side"
"6","DOE","M075","735 West End Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","92,000 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10025","40.795157","-73.973292","107","183","1034190","1012530065","Upper West Side"
"6","DOE","M084","32 West 92 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","104,525 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10025","40.789526","-73.967574","107","177","1081042","1012050006","Upper West Side"
"6","DOE","M087","160 West 78 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","89,000 GSF","Poor","> 20 years","No","2022","07/07/2022","10024","40.781958","-73.977638","107","161","1030196","1011490007","Upper West Side"
"6","DOE","M118","154 West 93 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","168,175 GSF","Under Construction","Under Construction","No","2022","07/07/2022","10025","40.791709","-73.970802","107","177","1032522","1012230005","Upper West Side"
"6","DOE","M166","132 West 89 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","75,000 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10024","40.788865","-73.971847","107","173","1032308","1012190047","Upper West Side"
"6","DOE","M199","270 West 70 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","105,700 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10023","40.778059","-73.984449","107","155","1030351","1011580040","Lincoln Square"
"6","DOE","M841","466 West End Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","64,880 GSF","Fair","> 20 years","No","2022","07/07/2022","10024","40.786611","-73.97951","107","171","1032754","1012300001","Upper West Side"
"6","DPR","Central Park Lasker Rink and Pool","Central Park East Dr","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","11,000 GSF","Poor","> 20 years","No","2022","07/07/2022",,,,,,,,
"6","DPR","CPC 79th St Maintence Yard","West 79th St Transverse","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","11,000 GSF","Poor","> 20 years","No","2022","07/07/2022",,,,,,,,
"6","DPR","Gertrude Ederle Recreation Center","232 West 60th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","20,000 GSF","Fair","> 20 years","Planned Green Roof","2022","07/07/2022","10023","40.771727","-73.988786","107","147","1086545","1011510015","Lincoln Square"
"7","NYPL","George Bruce Branch Library","518 West 125th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","16,364 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10027","40.813769","-73.956612","109","211","1059688","1019800022","Morningside Heights"
"6","DPR","Manhattan Parks Shop and Garage","Mid Central Park at West 86th Transverse Rd","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","20,000 GSF","Fair","> 20 years","No","2022","07/07/2022","10000","40.782295","-73.965194","164","143","1000000","1011110001","park-cemetery-etc-Manhattan"
"6","DPR","North Meadow Recreation Center","Mid Central Park at 97th St Transverse","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","13,000 GSF","Poor","> 20 years","No","2022","07/07/2022","10000","40.782295","-73.965194","164","143","1000000","1011110001","park-cemetery-etc-Manhattan"
"6","DPR","Tavern on the Green","65th St at Central Park West","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","14,436 GSF","Fair","> 20 years","No","2022","07/07/2022",,,,,,,,
"6","DPR","Wollman Rink","Mid Central Park at 65th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","10,800 GSF","Poor","15 to 19 years","No","2022","07/07/2022","10000","40.782295","-73.965194","164","143","1000000","1011110001","park-cemetery-etc-Manhattan"
"6","DSNY","West 59th Street MTS","12th Ave at West 59th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","109,000 GSF","Unknown","Unknown","No","2022","07/07/2022",,,,,,,,
"6","FDNY","Ladder Co. 25 and Division 3","205 West 77th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","13,300 GSF","Unknown","15 to 19 years","No","2022","07/07/2022","10024","40.781992","-73.979627","107","163","1030885","1011690026","Upper West Side"
"6","FDNY","Manhattan Central Office","79th St Transverse Rd","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","13,465 GSF","Unknown","> 20 years","No","2022","07/07/2022",,,,,,,,
"6","NYPL","St. Agnes Branch Library","444 Amsterdam Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","17,792 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10024","40.784711","-73.9772","107","167","1032683","1012290031","Upper West Side"
"6","NYPL","The Library for the Performing Arts","40 Lincoln Center Plz","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","138,384 GSF","Between Good and Fair","15 to 19 years","No","2022","07/07/2022","10023","40.773841","-73.985096","107","149","1028832","1011340025","Lincoln Square"
"7","DHS","Regent Hotel Shelter","2720 Broadway","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","102,275 GSF","Poor","> 20 years","No","2022","07/07/2022","10025","40.799717","-73.967789","107","191","1056586","1018760020","Upper West Side"
"7","DOE","M043","509 West 129 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","136,000 GSF","Under Construction","Under Construction","No","2022","07/07/2022","10027","40.815256","-73.955325","109","219","1059723","1019840033","Manhattanville"
"7","DOE","M054","103 West 107 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","136,800 GSF","Fair","> 20 years","No","2022","07/07/2022","10025","40.800119","-73.962837","107","193","1055990","1018620011","Morningside Heights"
"7","DOE","M093","501-503 West 152 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","80,600 GSF","Good","10 to 14 years","No","2022","07/07/2022","10031","40.829815","-73.94475","109","237","1087824","1020840129","Hamilton Heights"
"7","DOE","M125","425 West 123 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","160,925 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10027","40.810431","-73.955809","109","20901","1059526","1019640012","Morningside Heights"
"7","DOE","M153","1750 Amsterdam Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","162,125 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10031","40.826295","-73.946845","109","233","1081834","1020780019","Hamilton Heights"
"7","DOE","M163","163 West 97 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","82,801 GSF","Fair","> 20 years","No","2022","07/07/2022","10025","40.794264","-73.968706","107","185","1055908","1018520099","Upper West Side"
"7","DOE","M165","234 West 109 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","144,125 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10025","40.802917","-73.965613","107","195","1056676","1018800013","Morningside Heights"
"7","DOE","M192","500 West 138 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","118,788 GSF","Fair","> 20 years","No","2022","07/07/2022","10031","40.820953","-73.951145","109","22301","1084132","1019880166","Manhattanville"
"7","DOE","M195","625 West 133 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","186,000 GSF","Poor","> 20 years","No","2022","07/07/2022","10027","40.819481","-73.95761","109","22302","1059942","1020010005","Manhattanville"
"7","DOE","M506","140 West 102nd St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","102,100 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10025","40.797559","-73.966837","107","189","1055911","1018550009","Upper West Side"
"7","DOHMH","Manhattanville Health Center","21 Old Broadway","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","17,000 GSF","Unknown","10 to 14 years","No","2022","07/07/2022","10027","40.815573","-73.956864","109","219","1059720","1019830003","Manhattanville"
"7","DOHMH","Riverside Health Center","160 West 100th St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","43,877 GSF","Poor","5 to 9 years","No","2022","07/07/2022","10025","40.796407","-73.967932","107","185","1055906","1018520049","Upper West Side"
"7","DOT","West Side Highway Bents South Storage Yard","672 West 158th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","61,000 GSF","Unknown","Unknown","No","2022","07/07/2022","10032","40.836132","-73.947881","112","241","1087614","1021340218","Washington Heights South"
"7","FDNY","Engine Co. 37 and Ladder Co. 40","415 West 125th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","11,778 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10027","40.81177","-73.954858","109","20901","1059547","1019660061","Morningside Heights"
"7","FDNY","Engine Co. 80 and Ladder Co. 23","503 West 139th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","10,667 GSF","Between Fair and Poor","15 to 19 years","No","2022","07/07/2022","10031","40.821586","-73.950689","109","225","1075504","1020710027","Hamilton Heights"
"7","FDNY","Engine Co. 84 and Ladder Co. 34","513 West 161st St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","11,792 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10032","40.83564","-73.940856","112","245","1062872","1021200046","Washington Heights South"
"7","NYPD","24th Precinct","151 West 100th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","44,485 GSF","Poor","15 to 19 years","No","2022","07/07/2022","10025","40.79597","-73.966841","107","189","1055910","1018550005","Upper West Side"
"7","NYPD","26th Precinct","520 West 126th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","36,856 GSF","Good","15 to 19 years","No","2022","07/07/2022","10027","40.814796","-73.956283","109","219","1076682","1019820038","Manhattanville"
"7","NYPD","30th Precinct","451 West 151st St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","32,764 GSF","Between Fair and Poor","15 to 19 years","No","2022","07/07/2022","10031","40.828615","-73.943847","109","23501","1081826","1020660009","Hamilton Heights"
"7","NYPD","Shop 9","675 West 158th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","94,200 GSF","Good","5 to 9 years","No","2022","07/07/2022","10032","40.836146","-73.947867","112","247",,,"Washington Heights South"
"7","NYPL","Hamilton Grange Branch Library","503 West 145th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","20,403 GSF","Poor","15 to 19 years","No","2022","07/07/2022","10031","40.825431","-73.948049","109","229","1061938","1020770026","Hamilton Heights"
"8","ACS","Episcopal Social Services of NY (Space)","528 East 146th St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","10,617 GSF","Unknown","Unknown","No","2022","07/07/2022","10455","40.812728","-73.915397","201","43","2093913","2022720038","Mott Haven-Port Morris"
"8","DCAS","1680 Lexington Ave - DCAS (Space)","1680 Lexington Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","24,556 GSF","Unknown","Unknown","No","2022","07/07/2022","10029","40.791881","-73.946558","111","172","1051991","1016330013","East Harlem South"
"8","DCAS","Bronx County Courthouse","851 Grand Concourse","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","550,000 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10451","40.826048","-73.923102","204","63","2002869","2024680001","West Concourse"
